ppt_id,dev_id,month,stream,perfect,nan,unclear,total_rows,total_dupes
mgh015,2KPY311192,20190501_20190531,temp,0,0,0,47180,0
mgh015,2KPY311192,20190501_20190531,acc,0,0,0,1499930,0
mgh015,2KPY311192,20190501_20190531,eda,0,0,0,188721,0
mgh012,2KNY3111NL,20190501_20190531,temp,69000,30,0,702789,69000
mgh012,2KNY3111NL,20190501_20190531,acc,2258060,0,896,23005202,2258956
mgh012,2KNY3111NL,20190501_20190531,eda,275990,0,0,2810910,275990
mgh013,2KPY31116R,20190501_20190531,temp,540,3530,8,699871,548
mgh013,2KPY31116R,20190501_20190531,acc,25282,10430,2836,22767148,28118
mgh013,2KPY31116R,20190501_20190531,eda,3068,11375,60,2796536,3128
mgh014,2KPY311174,20190501_20190531,temp,111300,0,0,251479,111300
mgh014,2KPY311174,20190501_20190531,acc,3608560,0,188,8182410,3608748
mgh014,2KPY311174,20190501_20190531,eda,445172,0,2,1005888,445174
mgh007,2KPY31119V,20190501_20190531,temp,0,0,0,789423,0
mgh007,2KPY31119V,20190501_20190531,acc,0,0,0,25389913,0
mgh007,2KPY31119V,20190501_20190531,eda,0,0,0,3157589,0
mgh009,2KPY31117K,20190501_20190531,temp,663488,515,2,949893,663490
mgh009,2KPY31117K,20190501_20190531,acc,21579004,0,1503,30883794,21580507
mgh009,2KPY31117K,20190501_20190531,eda,2653738,858,14,3798258,2653752
mgh008,2KNY3111L4,20190501_20190531,temp,0,1115,2,60780,2
mgh008,2KNY3111L4,20190501_20190531,acc,0,2260,164,1901090,164
mgh008,2KNY3111L4,20190501_20190531,eda,0,1144,12,239811,12
mgh001,2KNY3111P2,20190501_20190531,temp,940,89840,136,1360638,1076
mgh001,2KNY3111P2,20190501_20190531,acc,30362,115440,12471,41111093,42833
mgh001,2KNY3111P2,20190501_20190531,eda,3796,156585,644,5239571,4440
mgh006,2KPY31119G,20190501_20190531,temp,1219550,100,0,1946705,1219550
mgh006,2KPY31119G,20190501_20190531,acc,39822400,0,703,63567835,39823103
mgh006,2KPY31119G,20190501_20190531,eda,4877574,0,105,7786121,4877679
mgh018,2KPY31116V,20190501_20190531,temp,0,0,0,6630,0
mgh018,2KPY31116V,20190501_20190531,acc,0,0,0,211660,0
mgh018,2KPY31116V,20190501_20190531,eda,0,0,0,26533,0
mgh010,2KNY311222,20190501_20190531,temp,42774,0,0,368059,42774
mgh010,2KNY311222,20190501_20190531,acc,1366194,0,0,11746784,1366194
mgh010,2KNY311222,20190501_20190531,eda,171084,0,0,1472189,171084
mgh005,2KNY311223,20190501_20190531,temp,35780,425,0,148270,35780
mgh005,2KNY311223,20190501_20190531,acc,1166560,0,1882,4825700,1168442
mgh005,2KNY311223,20190501_20190531,eda,143104,1742,91,593073,143195
mgh002,2KNY3111LY,20190501_20190531,temp,0,0,0,3880,0
mgh002,2KNY3111LY,20190501_20190531,acc,0,0,0,125860,0
mgh002,2KNY3111LY,20190501_20190531,eda,0,0,0,15522,0
mgh001,2KNY3111P2,20190701_20190731,acc,0,0,0,0,0
mgh001,2KNY3111P2,20190701_20190731,eda,0,0,0,0,0
mgh001,2KNY3111P2,20190701_20190731,temp,0,0,0,0,0
mgh006,2KPY31119G,20190701_20190731,acc,0,0,0,82503133,0
mgh006,2KPY31119G,20190701_20190731,eda,0,0,14,10129793,14
mgh006,2KPY31119G,20190701_20190731,temp,0,0,0,2532511,0
mgh007,2KPY31119V,20190701_20190731,acc,0,0,0,24370215,0
mgh007,2KPY31119V,20190701_20190731,eda,0,0,0,3018195,0
mgh007,2KPY31119V,20190701_20190731,temp,0,0,0,754570,0
mgh009,2KPY31117K,20190701_20190731,acc,0,0,0,48675545,0
mgh009,2KPY31117K,20190701_20190731,eda,0,0,0,5984919,0
mgh009,2KPY31117K,20190701_20190731,temp,0,0,0,1496268,0
mgh010,2KNY311222,20190701_20190731,acc,0,0,0,52374663,0
mgh010,2KNY311222,20190701_20190731,eda,0,0,0,6553243,0
mgh010,2KNY311222,20190701_20190731,temp,0,0,0,1638367,0
mgh012,2KNY3111NL,20190701_20190731,acc,0,0,0,20936983,0
mgh012,2KNY3111NL,20190701_20190731,eda,0,0,0,2560086,0
mgh012,2KNY3111NL,20190701_20190731,temp,0,0,0,640040,0
mgh018,2KPY31116R,20190701_20190731,acc,0,2630,0,6979538,0
mgh018,2KPY31116R,20190701_20190731,eda,0,923,0,853129,0
mgh018,2KPY31116R,20190701_20190731,temp,0,230,0,213283,0
mgh018,2KPY31116V,20190701_20190731,acc,0,0,0,10221700,0
mgh018,2KPY31116V,20190701_20190731,eda,0,0,0,1276106,0
mgh018,2KPY31116V,20190701_20190731,temp,0,0,0,319035,0
mgh001,2KNY3111P2,20190801_20190831,acc,39280,0,0,8382862,39280
mgh001,2KNY3111P2,20190801_20190831,eda,4888,0,0,1039750,4888
mgh001,2KNY3111P2,20190801_20190831,temp,1230,0,0,259955,1230
mgh006,2KPY31119G,20190801_20190831,acc,4486640,0,58,85854472,4486698
mgh006,2KPY31119G,20190801_20190831,eda,552734,0,2,10545699,552736
mgh006,2KPY31119G,20190801_20190831,temp,138190,10,0,2636514,138190
mgh007,2KPY31119V,20190801_20190831,acc,8180,0,0,49702043,8180
mgh007,2KPY31119V,20190801_20190831,eda,1014,0,0,6144961,1014
mgh007,2KPY31119V,20190801_20190831,temp,250,0,0,1536286,250
mgh009,2KPY31117K,20190801_20190831,acc,0,0,0,14491530,0
mgh009,2KPY31117K,20190801_20190831,eda,0,0,0,1780883,0
mgh009,2KPY31117K,20190801_20190831,temp,0,0,0,445235,0
mgh010,2KNY311222,20190801_20190831,acc,0,0,0,44826519,0
mgh010,2KNY311222,20190801_20190831,eda,0,0,0,5607380,0
mgh010,2KNY311222,20190801_20190831,temp,0,0,0,1401886,0
mgh012,2KNY3111NL,20190801_20190831,acc,0,0,0,17437021,0
mgh012,2KNY3111NL,20190801_20190831,eda,0,0,0,2130992,0
mgh012,2KNY3111NL,20190801_20190831,temp,0,0,0,532765,0
mgh018,2KPY31116R,20190801_20190831,acc,0,4590,0,17135620,0
mgh018,2KPY31116R,20190801_20190831,eda,0,1469,0,2088026,0
mgh018,2KPY31116R,20190801_20190831,temp,0,360,0,522011,0
mgh001,2KNY3111P2,20190601_20190630,acc,15920,91760,5152,24468055,21072
mgh001,2KNY3111P2,20190601_20190630,eda,1976,123968,252,3156228,2228
mgh001,2KNY3111P2,20190601_20190630,temp,500,42915,30,801016,530
mgh006,2KPY31119G,20190601_20190630,acc,47596460,0,153,105003866,47596613
mgh006,2KPY31119G,20190601_20190630,eda,5829460,104,2,12862890,5829462
mgh006,2KPY31119G,20190601_20190630,temp,1457400,0,0,3215781,1457400
mgh007,2KPY31119V,20190601_20190630,acc,0,0,0,14007995,0
mgh007,2KPY31119V,20190601_20190630,eda,0,0,0,1746124,0
mgh007,2KPY31119V,20190601_20190630,temp,0,0,0,436541,0
mgh008,2KNY3111L4,20190601_20190630,acc,0,0,0,1435080,0
mgh008,2KNY3111L4,20190601_20190630,eda,0,0,0,182364,0
mgh008,2KNY3111L4,20190601_20190630,temp,0,0,0,45595,0
mgh009,2KPY31117K,20190601_20190630,acc,30802812,40,6415,79683445,30809227
mgh009,2KPY31117K,20190601_20190630,eda,3788092,0,35,9799257,3788127
mgh009,2KPY31117K,20190601_20190630,temp,947090,0,5,2449876,947095
mgh010,2KNY311222,20190601_20190630,acc,2000602,0,43,47150099,2000645
mgh010,2KNY311222,20190601_20190630,eda,250212,130,14,5908717,250226
mgh010,2KNY311222,20190601_20190630,temp,62544,30,0,1477196,62544
mgh012,2KNY3111NL,20190601_20190630,acc,20931280,0,0,61841575,20931280
mgh012,2KNY3111NL,20190601_20190630,eda,2564510,0,0,7569417,2564510
mgh012,2KNY3111NL,20190601_20190630,temp,641140,0,0,1892410,641140
mgh013,2KPY31116R,20190601_20190630,acc,4,22110,222,8928450,226
mgh013,2KPY31116R,20190601_20190630,eda,0,23101,0,1119294,0
mgh013,2KPY31116R,20190601_20190630,temp,0,5770,0,279818,0
mgh017,2KPY31117F,20190601_20190630,acc,33780,20620,4169,18674960,37949
mgh017,2KPY31117F,20190601_20190630,eda,4160,39663,452,2343107,4612
mgh017,2KPY31117F,20190601_20190630,temp,1020,13715,92,589590,1112
mgh018,2KPY31116V,20190601_20190630,acc,0,760,0,6158930,0
mgh018,2KPY31116V,20190601_20190630,eda,0,715,0,771615,0
mgh018,2KPY31116V,20190601_20190630,temp,0,180,0,192895,0
mgh020,2KPY31113P,20190601_20190630,acc,0,0,0,4975350,0
mgh020,2KPY31113P,20190601_20190630,eda,0,0,0,622440,0
mgh020,2KPY31113P,20190601_20190630,temp,0,0,0,155615,0
mgh001,2KNY3111P2,20190901_20190930,acc,436320,480,0,38967395,436320
mgh001,2KNY3111P2,20190901_20190930,eda,54262,1001,0,4835258,54262
mgh001,2KNY3111P2,20190901_20190930,temp,13570,245,0,1208859,13570
mgh006,2KPY31119G,20190901_20190930,acc,756540,3820,3486,27601406,760026
mgh006,2KPY31119G,20190901_20190930,eda,92378,7657,135,3398367,92513
mgh006,2KPY31119G,20190901_20190930,temp,23120,16590,52,864310,23172
mgh007,2KPY31119V,20190901_20190930,acc,111380,0,0,33355868,111380
mgh007,2KPY31119V,20190901_20190930,eda,13702,0,0,4119131,13702
mgh007,2KPY31119V,20190901_20190930,temp,3420,0,0,1029812,3420
mgh010,2KNY311222,20190901_20190930,acc,0,0,0,37113625,0
mgh010,2KNY311222,20190901_20190930,eda,0,0,0,4654155,0
mgh010,2KNY311222,20190901_20190930,temp,0,0,0,1163572,0
